Acute.Coronary.Syndrome;Aortic.Aneurysm;Aortic.Dissection;Arrhythmia;Cardiac.Arrest;Cardiogenic.Shock;Cerebrovascular.Accident;Covid.19;Diabetic.Ketoacidosis;Gastrointestinal.Bleed;Heart.Failure;Liver.Failure;Pneumonia;Pulmonary.Embolism;Renal.Failure;Respiratory.Failure;Sepsis;Subarachnoid.Hemorrhage;Subdural.Hematoma;week;week2;year;label;Y
 6;2;4;2;0;1; 4;0;1;2;5;1;2;0;0; 4;5;0;1; 1; 1;2019;Normal;2
 2;1;3;2;5;0; 5;0;1;2;1;0;1;1;1; 5;2;0;1; 2; 2;2019;Normal;0
 5;2;3;3;1;2; 4;0;1;0;1;1;2;1;3; 2;4;2;1; 3; 3;2019;Normal;3
 2;2;6;5;0;0; 4;0;1;2;3;1;5;1;1; 3;2;2;3; 4; 4;2019;Normal;0
 3;1;0;2;0;0; 7;0;0;1;4;1;4;1;1; 3;6;3;3; 5; 5;2019;Normal;2
 6;5;3;6;1;1; 4;0;1;1;3;1;4;0;0; 6;3;1;1; 6; 6;2019;Normal;2
 3;1;2;1;0;0; 7;0;0;0;3;3;3;1;0; 4;8;4;1; 7; 7;2019;Normal;1
 3;0;2;1;0;0; 7;0;1;4;3;2;0;0;0;10;2;3;0; 8; 8;2019;Normal;0
 2;2;1;3;0;0;11;0;1;3;2;0;3;2;0; 6;2;2;2; 9; 9;2019;Normal;1
 3;2;1;3;0;2; 4;0;4;2;2;1;4;1;0; 5;8;3;1;10;10;2019;Normal;0
 6;2;2;0;0;1; 6;0;0;1;0;1;4;1;0; 8;8;3;2;11;11;2019;Normal;1
 6;0;3;2;0;1; 2;0;1;2;4;0;5;1;1; 3;5;8;2;12;12;2019;Normal;0
 6;0;1;5;1;0; 4;0;0;1;4;1;2;2;1; 4;1;1;2;13;13;2019;Normal;1
 5;2;4;3;3;2; 8;0;2;0;4;1;2;2;0; 5;5;1;1;14;14;2019;Normal;2
 2;4;5;3;0;0; 3;0;1;2;4;1;2;0;0; 4;5;1;2;15;15;2019;Normal;2
 5;0;3;3;0;0; 2;0;5;2;2;1;5;0;1; 4;3;1;2;16;16;2019;Normal;0
 2;0;2;3;0;0; 5;0;1;1;3;0;1;0;1; 4;9;2;1;17;17;2019;Normal;0
 3;0;2;2;2;1; 8;0;0;0;4;2;3;0;0; 8;6;1;0;18;18;2019;Normal;1
 5;0;6;2;2;1; 9;0;2;4;2;2;1;0;1; 4;4;2;0;19;19;2019;Normal;1
 3;2;1;3;2;1; 6;0;1;1;2;1;4;0;1; 3;2;1;1;20;20;2019;Normal;0
 4;0;0;1;2;0; 4;0;2;2;3;0;4;0;3; 4;4;0;1;21;21;2019;Normal;3
 5;1;2;5;1;1; 5;0;1;0;3;2;2;0;2; 4;4;3;2;22;22;2019;Normal;1
 3;5;1;5;0;1; 9;0;0;2;3;2;2;0;0; 6;7;3;0;23;23;2019;Normal;0
 5;0;4;1;1;2; 0;0;2;2;4;2;5;2;1; 7;7;0;3;24;24;2019;Normal;2
 8;2;4;2;2;1; 4;0;2;3;4;0;2;1;1; 9;2;1;2;25;25;2019;Normal;2
 5;0;2;2;1;1; 2;0;1;3;3;0;3;0;1; 5;2;1;0;26;26;2019;Normal;1
